41;4827828;Alfonso Ugarte 24;31035172;912508039;20101;20107;0.0715541;70;0.0010222;1000000;-120.501.363;-770.423.038;-120.494.928;-770.423.052
42;4827828;Alfonso Ugarte 25;912508039;1841915460;20107;20136;0.1346623;70;0.0019237;1000000;-120.494.928;-770.423.052;-120.482.875;-770.424.257
43;4827828;Alfonso Ugarte 26;1841915460;912508022;20136;20131;0.0639633;70;0.0009138;1000000;-120.482.875;-770.424.257;-12.047.715;-77.042.483
44;4827828;Alfonso Ugarte 27;912508022;31035116;20131;10;0.1178761;70;0.0016839;1000000;-12.047.715;-77.042.483;-120.466.949;-77.042.435
45;4827829;Alfonso Ugarte 28;31035131;1617076657;11;65165;0.1448711;60;0.0024145;0.0024145;-120.429.406;-770.428.589;-120.416.523;-770.430.249
46;4827829;Alfonso Ugarte 29;1617076657;2397243489;65165;26831;0.0215733;60;0.0003596;0.0003596;-120.416.523;-770.430.249;-120.414.592;-770.430.441
47;4827829;Alfonso Ugarte 30;2397243489;2397243477;26831;37013;0.0161986;60;0.00027;0.00027;-120.414.592;-770.430.441;-120.413.142;-770.430.584
48;4827829;Alfonso Ugarte 31;2397243477;31035152;37013;12;0.1028857;60;0.0017148;0.0017148;-120.413.142;-770.430.584;-120.404.055;-770.432.194
53;4827832;Alfonso Ugarte 32;31035159;309998239;13;15;0.2841521;70;0.0040593;0.0040593;-12.040.437;-770.433.858;-120.429.803;-770.431.366
54;4827838;Alfonso Ugarte 33;309998242;31035152;16;12;0.2843093;70;0.0040616;0.0040616;-120.429.513;-770.429.851;-120.404.055;-770.432.194
55;4827843;Plaza Francisco Bolognesi 1;2053915269;107774936;17;93168;0.0142102;70;0.000203;1000000;-120.596.939;-770.415.471;-120.597.048;-770.416.773
56;4827843;Plaza Francisco Bolognesi 2;107774936;107774938;93168;8;0.0117283;70;0.0001675;1000000;-120.597.048;-770.416.773;-120.597.402;-770.417.789
57;4827843;Plaza Francisco Bolognesi 3;107774938;107774940;8;3765;0.0419663;70;0.0005995;1000000;-120.597.402;-770.417.789;-120.600.042;-770.420.464
58;4827843;Plaza Francisco Bolognesi 4;107774940;107774941;3765;12773;0.0151546;70;0.0002165;1000000;-120.600.042;-770.420.464;-120.601.274;-77.042.106
59;4827843;Plaza Francisco Bolognesi 5;107774941;309998790;12773;3451;0.0537185;70;0.0007674;1000000;-120.601.274;-77.042.106;-12.060.592;-770.419.873
60;4827843;Plaza Francisco Bolognesi 6;309998790;1943098867;3451;91660;0.0093616;70;0.0001337;1000000;-12.060.592;-770.419.873;-120.606.399;-770.419.165
61;4827843;Plaza Francisco Bolognesi 7;1943098867;1943098942;91660;91696;0.0070725;70;0.000101;1000000;-120.606.399;-770.419.165;-120.606.707;-770.418.596
62;4827843;Plaza Francisco Bolognesi 8;1943098942;107774945;91696;3725;0.0083748;70;0.0001196;1000000;-120.606.707;-770.418.596;-12.060.712;-770.417.952
63;4827843;Plaza Francisco Bolognesi 9;107774945;107774948;3725;3726;0.0516912;70;0.0007384;1000000;-12.060.712;-770.417.952;-120.607.307;-770.413.332
64;4827843;Plaza Francisco Bolognesi 10;107774948;107774949;3726;3729;0.0163757;70;0.0002339;1000000;-120.607.307;-770.413.332;-120.606.567;-77.041.203
65;4827843;Plaza Francisco Bolognesi 11;107774949;107774952;3729;231;0.0475607;70;0.0006794;1000000;-120.606.567;-77.041.203;-120.602.924;-770.409.936
66;4827843;Plaza Francisco Bolognesi 12;107774952;1856633207;231;230;0.0236399;70;0.0003377;1000000;-120.602.924;-770.409.936;-120.600.813;-770.410.124
67;4827843;Plaza Francisco Bolognesi 13;1856633207;107774957;230;20253;0.0391862;70;0.0005598;1000000;-120.600.813;-770.410.124;-120.597.955;-770.412.134
68;4827843;Plaza Francisco Bolognesi 14;107774957;107774958;20253;9;0.0244624;70;0.0003495;1000000;-120.597.955;-770.412.134;-120.597.176;-770.414.237
69;4827843;Plaza Francisco Bolognesi 15;107774958;2053915269;9;17;0.013675;70;0.0001954;1000000;-120.597.176;-770.414.237;-120.596.939;-770.415.471
70;4827844;Alfonso Ugarte 34;31035152;31035185;12;22;0.032881;70;0.0004697;1000000;-120.404.055;-770.432.194;-120.401.117;-770.432.537
71;4827844;Alfonso Ugarte 35;31035185;31035182;22;18;0.0744192;70;0.0010631;1000000;-120.401.117;-770.432.537;-120.394.442;-770.433.034
72;4827845;Puente Del Ejercito 1;31035181;31035183;19;20;0.0974909;70;0.0013927;1000000;-120.385.756;-770.435.026;-120.394.508;-770.434.492
73;4827846;Alfonso Ugarte 36;31035183;31035159;20;13;0.1098769;70;0.0015697;1000000;-120.394.508;-770.434.492;-12.040.437;-770.433.858
74;4827847;Puente Del Ejercito 2;31035182;31035180;18;21;0.0980053;70;0.0014001;1000000;-120.394.442;-770.433.034;-120.385.665;-770.433.857
75;4827849;Vicente Morales Duarez 1;31035185;31035188;22;39036;0.1175823;40;0.0029396;0.0029396;-120.401.117;-770.432.537;-120.391.213;-770.432.921
76;4827849;Vicente Morales Duarez 2;31035188;31035189;39036;24;0.0501762;40;0.0012544;0.0012544;-120.391.213;-770.432.921;-120.391.632;-770.437.515
77;4827849;Vicente Morales Duarez 3;31035189;31035190;24;33935;0.1810788;40;0.004527;0.004527;-120.391.632;-770.437.515;-120.392.703;-77.045.413
78;4827849;Vicente Morales Duarez 4;31035190;915282203;33935;20381;0.0982214;40;0.0024555;0.0024555;-120.392.703;-77.045.413;-120.391.127;-770.463.017
79;4827849;Vicente Morales Duarez 5;915282203;915282184;20381;20480;0.0436569;40;0.0010914;0.0010914;-120.391.127;-770.463.017;-120.390.045;-770.466.876
80;4827849;Vicente Morales Duarez 6;915282184;915282434;20480;20423;0.0340151;40;0.0008504;0.0008504;-120.390.045;-770.466.876;-120.389.009;-770.469.819
81;4827849;Vicente Morales Duarez 7;915282434;915282565;20423;20540;0.031001;40;0.000775;0.000775;-120.389.009;-770.469.819;-120.388.141;-770.472.528
82;4827849;Vicente Morales Duarez 8;915282565;1850885633;20540;90804;0.0089938;40;0.0002248;0.0002248;-120.388.141;-770.472.528;-12.038.775;-770.473.252
83;4827849;Vicente Morales Duarez 9;1850885633;915282251;90804;20429;0.0311034;40;0.0007776;0.0007776;-12.038.775;-770.473.252;-120.386.386;-770.475.749
84;4827849;Vicente Morales Duarez 10;915282251;1273873869;20429;31230;0.0259715;40;0.0006493;0.0006493;-120.386.386;-770.475.749;-120.385.001;-770.477.672
85;4827849;Vicente Morales Duarez 11;1273873869;1273832462;31230;40035;0.1138706;40;0.0028468;0.0028468;-120.385.001;-770.477.672;-12.037.907;-770.486.208
86;4827849;Vicente Morales Duarez 12;1273832462;1038173149;40035;20930;0.0417253;40;0.0010431;0.0010431;-12.037.907;-770.486.208;-120.377.422;-770.489.655
87;4827849;Vicente Morales Duarez 13;1038173149;1038172927;20930;20861;0.1094539;40;0.0027363;0.0027363;-120.377.422;-770.489.655;-120.375.013;-770.499.369
88;4827849;Vicente Morales Duarez 14;1038172927;1273973301;20861;42858;0.0464032;40;0.0011601;0.0011601;-120.375.013;-770.499.369;-120.374.536;-770.503.608
89;4827849;Vicente Morales Duarez 15;1273973301;2397317879;42858;94628;0.045089;40;0.0011272;0.0011272;-120.374.536;-770.503.608;-12.037.392;-770.507.706
90;4827849;Vicente Morales Duarez 16;2397317879;1038173154;94628;20907;0.0464696;40;0.0011617;0.0011617;-12.037.392;-770.507.706;-120.373.606;-770.511.967
91;4827849;Vicente Morales Duarez 17;1038173154;1273697649;20907;31491;0.0183552;40;0.0004589;0.0004589;-120.373.606;-770.511.967;-120.373.411;-770.513.643
92;4827849;Vicente Morales Duarez 18;1273697649;2397317891;31491;94637;0.0153358;40;0.0003834;0.0003834;-120.373.411;-770.513.643;-120.373.272;-770.515.046
93;4827849;Vicente Morales Duarez 19;2397317891;1273901467;94637;35587;0.040247;40;0.0010062;0.0010062;-120.373.272;-770.515.046;-120.372.907;-770.518.728
94;4827849;Vicente Morales Duarez 20;1273901467;1038173035;35587;20939;0.022307;40;0.0005577;0.0005577;-120.372.907;-770.518.728;-120.372.606;-770.520.756
95;4827849;Vicente Morales Duarez 21;1038173035;1038172972;20939;20887;0.3524153;40;0.0088104;0.0088104;-120.372.606;-770.520.756;-120.369.201;-770.552.974
96;4827849;Vicente Morales Duarez 22;1038172972;1038172985;20887;20220;0.1313038;40;0.0032826;0.0032826;-120.369.201;-770.552.974;-120.367.583;-770.564.924
97;4827849;Vicente Morales Duarez 23;1038172985;1038172995;20220;20889;0.1503222;40;0.0037581;0.0037581;-120.367.583;-770.564.924;-120.365.066;-770.578.505
98;4827849;Vicente Morales Duarez 24;1038172995;31036638;20889;20872;0.138089;40;0.0034522;0.0034522;-120.365.066;-770.578.505;-120.362.755;-770.590.981
99;4827849;Vicente Morales Duarez 25;31036638;1038173045;20872;20867;0.0378269;40;0.0009457;0.0009457;-120.362.755;-770.590.981;-12.036.219;-770.594.411
100;4827849;Vicente Morales Duarez 26;1038173045;31036639;20867;20525;0.1476881;40;0.0036922;0.0036922;-12.036.219;-770.594.411;-120.359.985;-770.607.803
101;4827849;Vicente Morales Duarez 27;31036639;1038173039;20525;20822;0.1403296;40;0.0035082;0.0035082;-120.359.985;-770.607.803;-120.358.234;-770.620.582
102;4827849;Vicente Morales Duarez 28;1038173039;1038173044;20822;20825;0.095163;40;0.0023791;0.0023791;-120.358.234;-770.620.582;-120.357.047;-770.629.248
103;4827849;Vicente Morales Duarez 29;1038173044;1273840659;20825;40566;0.0634979;40;0.0015874;0.0015874;-120.357.047;-770.629.248;-120.356.381;-770.635.047
104;4827849;Vicente Morales Duarez 30;1273840659;1038173115;40566;20912;0.0311573;40;0.0007789;0.0007789;-120.356.381;-770.635.047;-120.355.926;-770.637.874
105;4827849;Vicente Morales Duarez 31;1038173115;306072587;20912;23;0.1122507;40;0.0028063;0.0028063;-120.355.926;-770.637.874;-12.035.446;-770.648.086
106;4827850;Alfonso Ugarte 37;31035189;31035161;24;25;0.2517225;50;0.0050345;0.0050345;-120.391.632;-770.437.515;-120.412.894;-770.433.946
107;4827860;Circunvalacion 1;31035237;31035238;26;29;0.0654825;50;0.0013096;0.0013096;-120.376.999;-770.429.004;-120.376.438;-77.042.301
108;4827860;Circunvalacion 2;31035238;31035239;29;30610;0.0551753;50;0.0011035;0.0011035;-120.376.438;-77.042.301;-12.037.488;-770.418.193
109;4827860;Circunvalacion 3;31035239;31035234;30610;27;0.04932;50;0.0009864;0.0009864;-12.037.488;-770.418.193;-120.373.416;-770.413.912
120;4827863;Avenida Caqueta 1;31035180;31035230;21;94626;0.0440851;70;0.0006298;1000000;-120.385.665;-770.433.857;-120.381.727;-770.434.326
121;4827863;Avenida Caqueta 2;31035230;31035266;94626;32;0.0958706;70;0.0013696;1000000;-120.381.727;-770.434.326;-120.373.115;-77.043.417
122;4827863;Avenida Caqueta 3;31035266;331611056;32;30;0.0494525;70;0.0007065;1000000;-120.373.115;-77.043.417;-120.368.677;-770.434.465
139;4827876;Av. Zarumilla 1;1379446748;31035457;57685;57686;0.2833007;30;0.0094434;1000000;-120.362.113;-770.462.802;-120.376.028;-77.044.098
138;4827876;Av. Zarumilla 2;31035623;1379446748;41;57685;0.102389;30;0.003413;1000000;-120.357.359;-770.470.859;-120.362.113;-770.462.802
140;4827876;Av. Zarumilla 3;31035457;1379446792;57686;42;0.0547996;30;0.0018267;1000000;-120.376.028;-77.044.098;-120.379.401;-770.437.464
141;4827878;Hector Garcia Ribeyro 1;31035344;31035346;43;44;0.2240904;30;0.0074697;1000000;-120.349.947;-770.438.989;-12.035.729;-770.458.068
142;4827883;El Trebol 1;31035512;885831110;45;19867;0.0111293;70;0.000159;1000000;-120.374.088;-770.404.556;-12.037.369;-770.405.495
143;4827883;El Trebol 2;885831110;1273493633;19867;44550;0.0900104;70;0.0012859;1000000;-12.037.369;-770.405.495;-120.370.376;-77.041.303
144;4827883;El Trebol 3;1273493633;885831032;44550;19846;0.0334652;70;0.0004781;1000000;-120.370.376;-77.041.303;-120.368.464;-770.415.396
145;4827883;El Trebol 4;885831032;31035540;19846;38658;0.1130552;70;0.0016151;1000000;-120.368.464;-770.415.396;-120.360.449;-770.421.723
