01,03,-12.09465,-77.00591
01,04,-12.09452,-77.00429
01,05,-12.09455,-77.00272
01,06,-12.09427,-77.00021
01,49,-12.09363,-77.00969
01,60,-12.09317,-76.99568
01,118,-12.09569,-76.99110
01,208,-12.09635,-76.98631
02,01,-12.09410,-77.00597
02,30,-12.09081,-77.00240
02,31,-12.09072,-77.00183
02,33,-12.09353,-77.00604
02,38,-12.09123,-77.00484
02,65,-12.09032,-76.99907
02,67,-12.09024,-76.99848
02,73,-12.08941,-76.99084
02,79,-12.08943,-76.99286
02,82,-12.08952,-76.99020
02,89,-12.08980,-76.99540
02,105,-12.09111,-76.98661
02,195,-12.09156,-76.98603
02,209,-12.09148,-76.98580
03,02,-12.09441,-77.00604
03,08,-12.09521,-77.00583
03,21,-12.09782,-77.00598
03,158,-12.10302,-77.00625
03,166,-12.10516,-77.00627
04,08,-12.09510,-77.00431
05,01,-12.09451,-77.00265
05,02,-12.09087,-77.00316
05,08,-12.09518,-77.00255
05,48,-12.08830,-77.00352
05,51,-12.08891,-77.00332
05,165,-12.10321,-77.00129
05,188,-12.10658,-77.00078
05,189,-12.10578,-77.00089
06,08,-12.09480,-77.00003
06,16,-12.09547,-77.00001
06,18,-12.09663,-77.00002
06,23,-12.09912,-77.00033
07,01,-12.09395,-76.99914
07,08,-12.09456,-76.99904
07,48,-12.08783,-77.00003
07,51,-12.08844,-76.99993
08,09,-12.09512,-77.00179
08,10,-12.09517,-77.00326
08,11,-12.09514,-77.00521
08,25,-12.09471,-76.99940
08,58,-12.09454,-76.99890
08,60,-12.09380,-76.99566
08,61,-12.09384,-76.99691
08,71,-12.09391,-76.99485
08,118,-12.09621,-76.99134
08,134,-12.09533,-77.00644
08,136,-12.09630,-77.00875
08,138,-12.09749,-77.00905
08,142,-12.09907,-77.00890
09,16,-12.09569,-77.00170
09,17,-12.09627,-77.00162
09,18,-12.09683,-77.00155
09,21,-12.09785,-77.00143
09,23,-12.09868,-77.00129
09,165,-12.10329,-77.00059
09,166,-12.10521,-77.00034
09,172,-12.10285,-77.00068
10,12,-12.09689,-77.00303
10,14,-12.09565,-77.00321
10,15,-12.09621,-77.00314
10,22,-12.10090,-77.00024
10,27,-12.09921,-77.00269
10,159,-12.10401,-77.00200
10,163,-12.10257,-77.00222
10,165,-12.10321,-77.00209
11,12,-12.09685,-77.00507
